id,artist,title,lyrics,
31,Suffocation,Jesus Wept,"Your entire life, your religion is embedded in your mind
Words spoken from a book, tell you never to change
After death you are taught, your soul will cleansed
But even reduced to ashes, the misery still prevails
The day has finally come for you to be put to rest
As your body enters the furnace
Searing fire begins its bath
As your entity begins its path
There will be no rebirth of your soul
Emptiness that clouds your depression
Forced in to see the light, knowing jesus wept
Only one thing clinging to your mind
The prayers to the feeble god whom you once beleived in
Looking at the mortal from your cauldron of pain
Weeping as you know nothing will make this end
But now an ever greater pain engulfs you
Reincremation did you no good, return to inflict others
Your credulous family somehow hears your pityful cries
They take the urn which contains what is left of your mortal life
It's taken back to the crematory to attempt once again
The brutal burning of your soul, thought to cleanse",
32,Deicide,Fuck your God,"I forsee at my end to be banished,
By your god for my life and branding
Never around, in the greatness of sorrow,
Screw your god and his UN writ moral.
Stifle god, and the idols of hatred,
Out of my heart, I have always been free,
One with no need all alone and satanic.
Wretched and Vile, fuck your god, de face him.
Who could believe in a lord that's demanding?
Hard to believe when we die we vanish,
In his deny and for all his creation,
Fuck your god and his righteous hatred.
You and your son, you are nothing but absence,
Something not there that controls this planet,
Only deceit do I see in your hallow
If you believe you will dwell in failure.
Fuck Your God, Holy mother for the whore she is,
Fuck your God, bible thumper preaching threats from hymn,
Fuck your god, his revival and the holy Ghost,
Fuck your god; only tell us what we need to know,
Fuck your god, pointing fingers and then do as me,
Fuck your god, you are nothing and you'll never be,
Fuck your god; it is Satan who in trusts my soul,
Fuck your god, where the Christians are I will not go.
Fuck your god
Fuck his, commandments, and prophet's left stranded to die,
Not in my heart or my soul as I go through this life,
Good book of bullshit lay dirty with vengeance and lies,
Go fuck your Jesus and get- the- fuck out my sight.
Unity over flowing with anger,
It is our time to remove the savior,
Christians are weak and the bible is beaten,
Homage to god, in this world not needed.
Fuck your god an his annals of plager,
Falling apart and exposing the light,
I will not live by the words of their Jesus,
He did not die to protect or save me.
There is just blood in his book of deceiving,
Riddles and crap to his divine healing,
Fail is your faith and you blame it on Satan,
Christians can't see that their preys are wasted.
Not a slave to religion unrendered,
Falsified god and his Christ redempters.
Never to be in the presence of grandeur,
I am for me and forever after.
Fuck Your God, Holy mother for the whore she is,
Fuck your God, bible thumper preaching threats from hymn,
Fuck your god, his revival and the holy Ghost,
Fuck your god; only tell us what we need to know,
Fuck your god, pointing fingers and then do as me,
Fuck your god, you are nothing and you'll never be,
Fuck your god; it is Satan who in trusts my soul,
Fuck your god, where the Christians are I will not go.
Fuck your god
Fuck you",
33,Morbid Angel,Chapel of Ghouls,"Ghouls attack the church
Crush the holy priest
Turning the cross towards hell
Writhe with satan's flames

Crush the priest
The feeble church

Dead - your god is dead
Fools - your god is dead
Useless prayers of lies
Behold satan's rise

Crush the priest
The feeble church
The family of dog
Lust upon my altar

Demons attack with hate
Satan in the fires of hell awaits
Death against you all
God hear my death call

Crush the priest
The feeble church
The family of dog
Lust upon my altar",
34,Dimmu Borgir,Tormentor of Christian Souls,"I could drag you to my chambers
And strip you naked in darkness
I could pull your fingernails out one by one
And rape you till you find no hope
I could rip your guts out
And let you watch me
Sacrifice your unborn child
I could leave you to starve
And even bring you to total silence
For once
For I find no pleasure in your physical pain
I want your Christian soul to crumble
Your fucking soul
When I have seen your church go up in flames
And you are weeping I will laugh
When I have seen you mourn over loved ones
I will feel bliss when your mortal soul is in ruins
I will grin in the shadows
For that gives me pleasure
Tormenting a Christian soul",
35,Behemoth ,Christgrinding Avenue,"Reptile!
Spreading sickness and disease among the men
Grubby creed!
What are ye but the soulless meat?
Lunatic!
Cancer consuming Thy race from inside
Beware!
No grace awaits Thee in the crying skies above
I'm on my way
Destination hell
By the power ov will
I shall complete the devil's work
Vultures attack!
May hell unlock overpowering might
Mourn not my comrades!
Thou art fateless in the blinding light
Soldiers!
On the altar ov liberation crucify the whore
Rejoice!
Drink to crucifixion for oppression is no more!
Slay the whore!
Make it bleed, make it weep
Let it die forever more
Slit the throat!
Let them rot, let them pay
Let 'em taste their own blood
Make 'em crawl!
Upon this corpse I shall feast
Till no hope remains for the twisted mob
Mithras!
Raise Thy sword ov judgment, loose the iron rain
Beat the drum
No earthly power may hinder nor stop Thee
Sekhmet!
Manifestation ov Mut, protector ov Ma'at
I call upon the most divine
To spew forth this infecting dust ov life
I'm on my way
Destination hell
By the power ov will
I shall complete the devil's work",
36,Holy Deception,Deicide,"Time has imprisoned on my soul
Religion in the path of what compels me
Lies instrument the holy hate
Deceiving of the weak in faith intention
Suffering with no reason and nodoubt
Pertruding on the lines of persecution
Vomit on the holy man never before your saviour
Brain dead victims of the holy
Preach your holy lies
Laugh at divinations and we all will be dead
Inscripted is you who will die
Hypocratic bible puncher
Perish from this land
Faithinized victims of the kingdom of hatred
Infecting this world with their plan
Before none I shall confess
From a far nor heaven sent
Cursed are the lambs of god
Brain dead victims of the holy
Preach your holy lies
Laugh at divinations and we all will be dead
Inscripted is you who will die
Hypocratic bible puncher
Perish from this land
Faithinized victims of the kingdom of hatred
Infecting this world with their plan
Time has imprisoned on my soul
Religion in the path of what compels me
Lies instrument the holy hate
Deceiving of the weak in faith intention
Suffering with no reason and no doubt
Pertruding on the lines of persecution
Vomit on the holy man never before your saviour",
37,Morbid Angel,Unholy Blasphemies,"Rise through the gate, Iak Sakkath
From depths beyond the sky
The realm of evil gods
Painful... They eat your mind
Evil undisguised
Breathe in pain
Blackened souls remain
Ghouls who pray the death of god
Destroy Jehovah's church
Vomit upon the cross
And burn the book of lies
Yog sothoth evil one
Come forth and taste the blood
Infant entrails
Are hung upon the twisted cross",
38,Behemoth ,Christians to the Lions,"Behold bastard son
I am the evil one
No glory to be reached
No more thy slavery
The passion I besieged
Spawn terror
Smash thy will
Ye pale dominion fades away my
Will dominates
And watch my star arise
Burning up the earth
Sun, the eye of gods
Threw into the space
Watch ye moon eclipse
Falling from thy grace
Watch all nations cry
All feared of his name
Praise the flame!
Watch angels falling from the skies
Praise the flame!
I killed thy god
My will is done!
Thou art lord
Rise me! rise me high!
Lead through the gates of sun
Rise me! rise me high!
Where angels do not dare to fly
Invite to feast of gods
And let me drift away
Leave flames of infamy
And watch me kiss the stars",
39,Akercocke,Praise the Name of Satan,"Mephistopheles
Extract from concealment
Enlightenment
A plethora of Cacodaemons
Emerge to defile me
Debase me
I dare not resist
But celebrate the pain
Drops of blood fall in time
With the beating of your heart
Foctid breath whispers
Are you the messiah?
Satan
Lacerate the soul
Dissect the ego
Naked I confront
The sheer cliff face of sanity
On which I gain no purchase
Attempt to climb
And make no progress
I am a blasphemy to Christ
Am I Jesus? Am I messiah?
Stone statue speaks
The winter of life too cold
Twisted Debaser
As the winds from the
Furthest reaches of Belial
Stir winter clouds across the moon
I hear the words of the master
For you and Satan",
40,Akercocke,summon the antichrist,"Master, take wing over the desert
And parched land
Master, the art of suffering
A divine dance
Summon The Master...
Mouth incendiary evocation
Black flame engulfs
Filth and maggots of humanity
Hair burning, faces melt
Summon!
Master!
The inexhaustible beauty
The incomparable gift
Satan has made to the human race
In his only child
Antichrist
Mouth incendiary evocation
Black flame engulfs
Filth and maggots of humanity
Hair burning, faces melt
Obscene ritual
Totems sacrosanct
Divine Baphomet
Worship the Goatlord
Divine Lucifer
Worship the Goatlord
Swarming, the spirits of the pit
Infernal, arise from the abyss
Absonant, within the pentagram
Ritually summon the Antichrist
The wings of The Master...",
41,venom ,Burn in Hell,"Eternal night encroaches
Disaster speaks his name
Ignite the fires of Hades
A world engulfed in flame
You burn - in hell
Visions shared by the blind
The chase heats up the danger
Old dragons breath
Inferno - You're gonna crash and burn
Inferno - You're gonna burn in hell
Blood eyes in burning fury
Flesh peeling from the bone
The Gods are judge and jury
Inferno is their home
You cry - You die
As you head for the grave
Welcome to purgatory
Your soul is fried
Eternal night encroaches
Disaster speaks his name
Ignite the fires of Hades
A world engulfed in flame
You burn - in hell
Visions shared by the blind
The chase heats up the danger
Old dragons breath",
